id,content,vertical
613,E和F分别是边AB和AC中点，D是BC边上一点，若角AED等于角AFD，请问四边形AEDF是平行四边形吗,0
148,在三角形ADC中，角ADC等于90角，三角形DC全等BDH，那么BH与AC互相垂直吗？请说明理由．,0
782,（2019春玉溪期末）已知比OA垂直OB，点C在射线OB上，经过C点的直线DF平行OE，角BCF等于60角．求角AOE的度数．,1
679,（2018春拜泉县期末）已知比直线AB与CD被EF所截，角1等于角2，求证比AB平行CD．,0
544,在平面直角坐标系中，A（2，1），B（4，负3），且以A，B，O，C为顶点的四边形为平行四边形，求点C的坐标．,0
275,D是BC上一点，AB等于AD，BC等于DE．三角形ABC全等三角形ADE，求证比角CDE等于角BAD．,0
1419,在长方形ABCD中，角DAE等于角CBE等于45角，AD等于1，分别写出长度为有理数的线段与长度为无理数的线段．,0
1127,在矩形ABCD中，AB等于5厘米，BC等于7厘米，点E从点A出发，沿AB方向以1厘米除s的速度向点B移动，同时，点F从点B出发，沿BC方向以2厘米除s的速度向点C移动，当点F到达点C时，两点同时停止运动，设运动时间为t秒．（1）当t为何值时，三角形BEF的面积为5厘米乘方2？（2）当t为何值时，三角形BEF与三角形ABD相似？,0
1071,已知已知AB垂直AC，角DAB等于角C，求角CDA的度数．,0
482,直线a、b被c所截，角1减角2等于11角，角3相加角4等于169角，求角1和角2的度数．[方法提示比注意邻补角]．,0
384,三角形ABC中，角C等于90角，点D在AC上，已知角BDC等于45角，CD等于10，AB等于20，求角A的度数．,0
435,（2017秋滨海县期末）直线AB、CD相交于点O，OE平分角BOD，角AOC等于72角，角DOF等于90角．（1）求角DOE的度数；（2）求角EOF的度数．,0
913,已知，在直角三角形ABC中，E是两锐角平分线的交点，ED垂直BC，EF垂直AC，垂足分别为D，F，求证比四边形CDEF是正方形．,0
1153,在三角形ABC中，角ACB等于90角，DE垂直AB．（1）指出图中的相似三角形？并说明理由．（2）若分别延长DE，BC交于点F，这时，图中还有哪些三角形相似？（3）若连接EC、AF，这时，图中还有哪些三角形也相似？（4）若角B等于60角，AF等于6，求CE长．,0
614,分别以三角形ABC的三边为边长，在BC的同侧作等边三角形ABD，等边三角形BCE，等边三角形ACF，连接DE，EF．求证比四边形ADEF是平行四边形．,0
512,直线AB、CD、EF相交于点O，角AOC等于35角，角COF等于80角．（1）找出图中共有几对对顶角，分别表示出来；（2）写出角AOC的补角，并求角AOC的补角的度数；（3）求角AOF的对顶角的度数．,0
740,直线AB、CD被直线EF所截．（1）若角1等于60角，角2等于60角，AB平行CD吗？为什么？（2）若角1等于角3，AB平行CD吗？为什么？,0
1214,等腰直角三角形ABC相似直角三角形A′B′C′，相似比为3比1，已知斜边AB等于12厘米．（1）求三角形A′B′C′斜边A′B′的长；（2）求三角形A′B′C′斜边A′B′上的高．,0
262,点A，O，D在同一条直线上，三角形OAB全等三角形OCD，且AD等于5厘米，OC等于3厘米，角AOC等于70角，求OB的长及角BOD的度数．,0
469,直线AB、CD相交于点O，角AOC等于70角，OE把角BOD分成两个角．且角BOE比角EOD等于2比3，求角EOD的度数．,0
312,在直角三角形ABC中，角ABC等于90角，角CAB等于45角，MN为AB的垂直平分线，E为MN上一点，连接AE，过点E作AE垂直EF，过点B作AC的平行线BF．（1）求证比AE等于EF；（2）连接CE，若角ECA等于30角，DH等于1，求BF的长．,1
195,三角形ABD全等三角形ECD，角ECA等于70角，角A等于30角，AB等于6厘米．求比角E、角D、角DBA的度数及CE的长．,0
853,（1）如图（1），已知MA1平行NAn，探索角A1、角A2、…、角An，角B1、角B2、…、角Bn减1之间的关系；（2）如图（2），已知MA1平行NA4，探索角A1、角A2、角A3、角A4，角B1、角B2之间的关系；（3）如图（3），已知MA1平行NAn，探索角A1、角A2、…、角An之间的关系．菁优网,0
869,（2018春丰南区期中）菱形ABCD中，点E，O，F分别是边AB，AC，AD的中点，连接CE，CF，OF．（1）求证比三角形BCE全等三角形DCF；（2）猜测比当AB等于BC，且AB与BC满足条件AB垂直BC时，四边形AEOF是正方形，请说明理由．,0
1221,已知三角形ABC的三边长分别为23，32，30，与三角形ABC相似的三角形A′B′C′的最大边长为65．（1）求三角形A′B′C′的另外两边长；（2）求三角形A′B′C′的面积及最大角的度数．,0
1085,（2018秋西城区校级期中）三角形ABC中，角ACB等于90角，D为AB上一点，CE垂直CD，且CD除CB等于3除5，CE除AC等于3除5．求证比三角形ACD相似三角形ECF．,0
1321,已知比在ABCD中，M是AD的中点，连接BM、厘米，且BM等于厘米，求证比ABCD是矩形．,0
10,（2018秋东莞市校级月考）如图AB等于DC，AC等于DB，求证比三角形ABC全等三角形DCB（填空）．证明比在三角形ABC和三角形DCB中AB＝() AC＝()  BC＝() 所以三角形ABC全等三角形DCB（SSS）,0
1013,四边形ABHG是正方形，D，C在射线GH上，四边形ABCD是平行四边形，CF垂直BG于F，BG，AD交于点E，连HF．（1）求证比DG等于HC；（2）求证比AD等于2HF；（3）若EG等于2，BF等于3，直接写出EF的值．,0
261,已知三角形ABD全等三角形ACD，且点B、D、C在同一条直线上，那么AD与BC有怎样的位置关系？为什么？,0
1399,（2019泰州一模）在矩形ABCD中，BE垂直AC，DF垂直AC，垂足分别为E、F，连接DE、BF．（1）求证比BE等于DF；（2）判断四边形BEDF的形状，并说明理由．,0
197,如图所示，已知三角形ADE全等三角形BCF，AD等于6厘米，CD等于5厘米，求BD的长．,0
1333,AB平行CD，DE垂直AB，CF垂直AB．求证比四边形DEFC是矩形．,0
